Address,Beds,Baths,House Size (sqft),Lot Size (ac),Type,Postal Code,Price
"62 Parkin Street, Salisbury, New Brunswick, E4J 2N3",3.0,2.0,3790.0,0.85,Residential,E4J 2N3,549900
"178 C K Justason Lane, Pennfield, New Brunswick",3.0,3.0,,,Residential,E5H1S2,299900
"4 Denully Court, St. Stephen, New Brunswick, E3L 1P7",4.0,2.0,1100.0,0.24,Residential,E3L 1P7,169900
"141 Church Avenue, Sussex, New Brunswick, E4E1Z2",6.0,3.0,,,Family,E4E1Z2,289900
"19 Stewart Street, Fredericton, New Brunswick, E3G3V4",2.0,2.0,,,Family,E3G3V4,109900
"305 Hampton Road, Quispamsis, New Brunswick, E2M4M9",4.0,2.0,,0.294,Family,E2M4M9,264900
"10 & 14 107 Route, Nashwaak Bridge, New Brunswick",5.0,2.0,,,Family,E6C2G7,139900
"600 Royal Oaks Boulevard, Moncton, New Brunswick, E1H 3S7",2.0,2.0,1232.0,0.12300000000000001,Residential,E1H 3S7,264900
"35 Sagewood CRES, Moncton, New Brunswick, E1G1Z4",4.0,4.0,2457.0,,Family,E1G1Z4,347000
"18 Islands, Greater Canterbury, New Brunswick",,,,,Empty Land,E6H1R2,550000
"415 Beckwith Road, Greater Salisbury, New Brunswick",2.0,2.0,1980.0,4.0,Residential,E4Z3J3,224900
"Lot 89-4 Route 445, Fair Isle, New Brunswick",,,,2.55,Empty Land,E9G2M7,13400
"- Route  725, Western Charlotte, New Brunswick",,,,,Empty Land,E3L 5N6,15900
"Lot 10 Motivation Avenue, Quispamsis, New Brunswick, E2G2A1",,,,,Empty Land,E2G2A1,69500
"7 ACRES, SANDY PT RD, (Ch. Pointe aux Sable), Miramichi, New Brunswick, E9A 1J4",,,,7.0,Empty Land,E9A 1J4,40000
"Lot Upper Mills Road, Greater Saint Stephen, New Brunswick",,,,,Empty Land,E7L5X7,48000
"140 Orleans St., Dieppe, New Brunswick, E1A 1W9",4.0,3.0,2808.0,0.124,Residential,E1A 1W9,236900
"98-14 Bayview Boulevard, Greater Saint Andrews, New Brunswick",,,,,Empty Land,E5B3G6,70000
"45 Percy Kelly Drive, Miramichi, New Brunswick, E1V 5V5",2.0,1.0,1008.0,0.25,Residential,E1V 5V5,129900
"Lot 1 Murdock Rd, Miramichi, New Brunswick, E1N 4Y9",,,,10.3,Empty Land,E1N 4Y9,19900
"63 Balsam Ave, Noonan, New Brunswick",,,,1.3,Empty Land,E3A0J8,39900
"Lot 07-02 Comeau Point Rd, Shemogue, New Brunswick, E4N 3B4",,,,1.98,Residential,E4N 3B4,34900
"Lot 19-01 Bayview Drive, Saint Andrews, New Brunswick",,,,,Empty Land,E5B3G5,129900
"29 Flint Court, Moncton, New Brunswick",4.0,3.0,,0.09,Residential,E1G2H3,399900
"3888 Rte 620 Tay Creek, Greater Estey's Bridge, New Brunswick",2.0,2.0,1800.0,5.0,Residential,E3G6K8,183500
"48 Augustus St, Saint Andrews, New Brunswick",3.0,2.0,1778.0,0.294,Residential,E5B2E7,449000
"03-11 Archangel Way, Keswick Ridge, New Brunswick, E6L0A5",,,,,Empty Land,E6L0A5,33900
